iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
NGA,182,Nigeria,State,drought_spei_copernicus_1940-2024,85849310.63883369,110642672.82595988,229602955.22762072,914421.4868789336
NPL,175,Nepal,State,drought_spei_copernicus_1940-2024,1612312.275827373,10250380.76052714,29642061.05948545,147827.55467917174
NOR,186,Norway,State,drought_spei_copernicus_1940-2024,463986.1075837657,1015530.0568755262,5123131.223897943,322110.9052925733
OMN,187,Oman,State,drought_spei_copernicus_1940-2024,531.8239088172559,1426698.4030115118,5015295.953208735,309185.96696268127
PAK,188,Pakistan,State,drought_spei_copernicus_1940-2024,96819128.78621128,107750534.1087314,248700283.38779023,794617.7448061238
PHL,275,Philippines,State,drought_spei_copernicus_1940-2024,24841222.84834276,38920920.68168253,111747457.38693188,296412.6567529354
PNG,274,Papua New Guinea,State,drought_spei_copernicus_1940-2024,1404902.9561994406,3771705.4209643,9642352.64026671,465365.1681464113
POL,198,Poland,State,drought_spei_copernicus_1940-2024,1021002.3206848514,6980330.991230039,38556859.43418746,310724.3940478374
PRK,67,Democratic People's Republic of Korea,State,drought_spei_copernicus_1940-2024,52211.66299461239,5968303.7754671965,26296509.18734705,122517.2738601824
PRT,199,Portugal,State,drought_spei_copernicus_1940-2024,6345.027025122728,1561451.171260756,9846609.965714457,88539.91055093665
PSE,3000,State of Palestine,State,drought_spei_copernicus_1940-2024,24135.874402895864,2443377.101390832,5402734.348390189,6147.8781860534
QAT,201,Qatar,State,drought_spei_copernicus_1940-2024,0.0,525150.8330377394,3007344.2949948334,11670.584359064049
ROU,203,Romania,State,drought_spei_copernicus_1940-2024,3123947.0594704114,3678230.56968678,19057570.685911324,237808.2490989319
NZL,179,New Zealand,State,drought_spei_copernicus_1940-2024,225524.5807255958,1136542.5251484124,5064248.282797882,268235.08238512685
RWA,205,Rwanda,State,drought_spei_copernicus_1940-2024,0.0,6267135.85694935,14097780.61437473,25407.985907538976
SAU,215,Saudi Arabia,State,drought_spei_copernicus_1940-2024,12051.874675843375,9337856.995743196,32986953.00129721,1929891.824896628
SDN,280,Sudan,State,drought_spei_copernicus_1940-2024,2769462.9266433897,23464053.821123067,49865909.172933295,1850344.215236803
SEN,278,Senegal,State,drought_spei_copernicus_1940-2024,533571.5099590925,8270845.118411525,18125219.403824627,197515.81325929103
SLE,221,Sierra Leone,State,drought_spei_copernicus_1940-2024,520532.5356176217,3843554.251305169,8475710.84991038,72722.06718550812
SLV,75,El Salvador,State,drought_spei_copernicus_1940-2024,0.0,1913990.3562425305,6298205.349703249,20866.99108236562
SMR,213,San Marino,State,drought_spei_copernicus_1940-2024,0.0,5134.854386489199,32559.09751354667,60.818159851656304
SOM,226,Somalia,State,drought_spei_copernicus_1940-2024,25008.97421929509,9019740.484482087,17745145.825033713,635467.6865730727
SRB,2648,Serbia,State,drought_spei_copernicus_1940-2024,180199.63624685784,1176150.825566786,8447227.708104627,88279.92400210608
SSD,287,South Sudan,State,drought_spei_copernicus_1940-2024,102402.96444854687,5568108.033078,11795044.308237383,632419.4956147211
SVK,223,Slovakia,State,drought_spei_copernicus_1940-2024,434359.4626954271,1043142.8692212112,5519449.023483421,48874.9010868696
SVN,224,Slovenia,State,drought_spei_copernicus_1940-2024,60544.57330891024,375673.5819081437,2111647.805266223,20218.890159001767
SWE,236,Sweden,State,drought_spei_copernicus_1940-2024,823459.2720583174,2075466.956284257,10107631.546174591,446533.9254203534
SWZ,235,Eswatini,State,drought_spei_copernicus_1940-2024,0.0,493249.9917045235,1236391.7812091997,17400.85315187086
SYR,238,Syrian Arab Republic,State,drought_spei_copernicus_1940-2024,243464.28002054128,8929443.803054532,24156884.259887222,187499.59215600757
