system:index,adm0_name,child_population_exposed,child_population_total,iso3,label,metric,population_total,ucode,.geo
9,Antarctica,0.0,0.0,ATA,extreme_heat_ecmwf_2014-2024,individual,0.0,ATA_V10,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Tokelau,0.0,627.8673086456943,TKL,extreme_heat_ecmwf_2014-2024,individual,2014.402919239989,TKL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Western Sahara,57365.3401977645,148932.15286032428,ESH,extreme_heat_ecmwf_2014-2024,individual,565209.8879479027,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,New Caledonia,0.0,73125.82198797836,NCL,extreme_heat_ecmwf_2014-2024,individual,286214.63240109663,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Clipperton Island,,0.0,PYF,extreme_heat_ecmwf_2014-2024,individual,0.0,PYF1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Saint Helena (Tristan da Cunha),,0.0,SHN,extreme_heat_ecmwf_2014-2024,individual,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Saint Helena (Ascencion),,0.0,SHN,extreme_heat_ecmwf_2014-2024,individual,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Gibraltar,0.0,6320.710476004482,GIB,extreme_heat_ecmwf_2014-2024,individual,32201.5256533018,GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Saint Helena (Gough),,0.0,SHN,extreme_heat_ecmwf_2014-2024,individual,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Saint Helena,,854.5941989731934,SHN,extreme_heat_ecmwf_2014-2024,individual,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,American Samoa (USA),,15601.739678215456,ASM,extreme_heat_ecmwf_2014-2024,individual,46000.704591681664,ASM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Guam (USA),0.0,50804.76540056684,GUM,extreme_heat_ecmwf_2014-2024,individual,168195.3960321047,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Bi'r Tawīl,250.06046407669783,250.06046407669783,EGY,extreme_heat_ecmwf_2014-2024,individual,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Greenland,0.0,6348.697077057339,GRL,extreme_heat_ecmwf_2014-2024,individual,24878.69900580517,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Arunachal Pradesh,0.0,316064.96065364964,xAP,extreme_heat_ecmwf_2014-2024,individual,980113.5056940456,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Senkaku Islands,,0.0,xSK,extreme_heat_ecmwf_2014-2024,individual,0.0,xSK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Kuril Islands,0.0,3437.7050287807774,xRI,extreme_heat_ecmwf_2014-2024,individual,16865.05092428459,xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
