system:index,pop_child_total,pop_exposed_agricultural_drought_fao_1984-2023,pop_exposed_air_pollution_pm25_1998-2023,pop_exposed_coastal_flood_100yr_jrc_2024,pop_exposed_drought_spei_terraclimate_1958-2025,pop_exposed_drought_spi_terraclimate_1958-2025,pop_exposed_drought_topic,pop_exposed_extreme_heat_ecmwf_2014-2024,pop_exposed_fire_FRP_nasa_2001-2024,pop_exposed_fire_frequency_nasa_2001-2023,pop_exposed_fire_topic,pop_exposed_heatwave_duration_ecmwf_2014-2024,pop_exposed_heatwave_frequency_ecmwf_2014-2024,pop_exposed_heatwave_severity_ecmwf_2014-2024,pop_exposed_heatwave_topic,pop_exposed_river_flood_100yr_jrc_2024,pop_exposed_sand_dust_storm_unccd_2024,pop_exposed_tropical_storm_100yr_giri_2024,pop_exposed_vectorborne_malariapf_2012-2022,pop_exposed_vectorborne_malariapv_2012-2022,pop_mhi_p75,pop_mhi_p80,pop_mhi_p85,pop_mhi_p90,pop_mhi_p95,pop_topic_ge_1,pop_topic_ge_2,pop_topic_ge_3,pop_topic_ge_4,pop_topic_ge_5,pop_topic_ge_6,pop_topic_ge_7,pop_topic_ge_8,pop_total,ucode,.geo
000000000000000005cb,55421.27927654538,,31187.98790394166,1531.5221119098585,0.0,17490.137866319015,17490.137866319015,5054.36361766102,0.0,0.0,0.0,0.0,0.5881320033222437,11212.842825045112,11213.430957048435,648.208651994355,46829.51750342359,55421.27927654538,0.0,,0.0,0.0,0.0,0.0,0.0,55421.27927654538,47736.962903962776,30058.493977914815,3843.5407055447336,1119.995609877284,8.187511056661606,0.0,0.0,235898.701952249,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005cc,27838.28133198864,,27838.28133198864,0.0,13964.588186574634,1556.1951317258645,15439.991374777164,27760.048451893184,,,,0.0,59.351552084088326,5849.067555692482,5908.41910777657,2805.0313067755196,27837.965782989406,17161.993552849628,0.0,,0.0,0.0,0.0,0.0,0.0,27838.28133198864,27837.965782989406,27370.1775657041,11453.391746708658,2413.63314967067,0.0,0.0,0.0,120234.51655473096,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005cd,63988.59817970146,,63988.59817970146,1280.683943753894,23745.806629231018,816.6563415564597,24478.13566144724,22377.187673885193,0.0,0.0,0.0,5599.095290682689,539.6780820786953,44237.50415011063,49289.3684001768,9271.312529851431,60841.107063132324,63988.59817970146,0.0,,3199.5440298318863,3199.5440298318863,3199.5440298318863,0.0,0.0,63988.59817970146,63966.957158214165,59473.894840902576,30692.26369146785,11721.935302240418,1682.744279421866,0.0,0.0,194283.13240506576,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ce,7278.912420582688,,7278.912420582688,0.0,1812.3327240608633,29.94930411875248,1812.3327240608633,7278.912420582688,,,,5586.609037008799,6222.51207505652,0.0,7012.537722673929,988.6884503364563,7278.912420582688,7278.912420582688,0.0,,0.0,0.0,0.0,0.0,0.0,7278.912420582688,7278.912420582688,7278.912420582688,7257.085260462678,2551.1390706487,5.334565959870815,0.0,0.0,14815.389614922908,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,0.583518987309699,,,0.0,0.0,0.0,0.0,0.0,,,,0.583518987309699,0.0,0.583518987309699,0.583518987309699,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.583518987309699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.055825450987208,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,195.2937302376678,,,5.556033921216651,0.0,0.0,0.0,0.0,,,,189.27098125113844,189.08202625144622,189.27098125113844,189.27098125113844,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,193.6041911828939,1.222823989461176,0.0,0.0,0.0,0.0,0.0,0.0,694.463534706068,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,185.48957790644727,,,83.88715435073654,0.0,0.101117295961754,0.101117295961754,0.0,,,,81.61710973872854,81.61710973872854,81.61710973872854,81.61710973872854,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,145.81433239850924,19.791048986917612,0.0,0.0,0.0,0.0,0.0,0.0,685.3467072726703,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
