ucode,ISO3,combination_id,population,combination,hazardCount,hazardLevel
LKA_V1,LKA,93,51.21467071038205,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
THA_V1,THA,94,50.337839507618376,Coastal Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
PRK_V1,PRK,151,49.6977521777153,River Flood + Coastal Flood + Tropical Storm + Heatwave + Sand and Dust Storm,5,Multiple
AUS_V1,AUS,55,49.62846128512994,River Flood + Coastal Flood + Tropical Storm + Heatwave + Extreme Heat,5,Multiple
BOL_V1,BOL,185,49.39191207027761,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
ESP_V1,ESP,87,49.34554597493279,River Flood + Coastal Flood + Tropical Storm + Heatwave + Fire,5,Multiple
xJK_V1,xJK,185,49.1856052801013,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
LBY_V1,LBY,241,48.71282708598301,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
CHN_V1,CHN,199,47.66702796607917,River Flood + Coastal Flood + Tropical Storm + Fire + Sand and Dust Storm,5,Multiple
MAR_V1,MAR,158,47.329535039499696,Coastal Flood + Tropical Storm + Drought + Heatwave + Sand and Dust Storm,5,Multiple
LKA_V1,LKA,31,47.28899474069476,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
PHL_V1,PHL,94,47.274458618966094,Coastal Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
LKA_V1,LKA,117,46.97994686407037,River Flood + Tropical Storm + Heatwave + Extreme Heat + Fire,5,Multiple
BWA_V1,BWA,241,46.33689848546478,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
ROU_V1,ROU,91,45.61869214416947,River Flood + Coastal Flood + Drought + Heatwave + Fire,5,Multiple
IRN_V1,IRN,182,45.38776902576872,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
LKA_V1,LKA,157,45.291541109385435,River Flood + Tropical Storm + Drought + Heatwave + Sand and Dust Storm,5,Multiple
VEN_V1,VEN,109,45.186188768129796,River Flood + Tropical Storm + Drought + Extreme Heat + Fire,5,Multiple
USA_V1,USA,229,44.90907347349969,River Flood + Tropical Storm + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
VEN_V1,VEN,220,44.46593700045196,Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
TKM_V1,TKM,242,42.17998294532299,Coastal Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
NIC_V1,NIC,181,41.89650299103711,River Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
SAU_V1,SAU,115,41.74091047656485,River Flood + Coastal Flood + Heatwave + Extreme Heat + Fire,5,Multiple
BOL_V1,BOL,217,41.113667316909414,River Flood + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
