ucode,ISO3,combination_id,population,combination,hazardCount,hazardLevel
TWN_V1,TWN,151,449.6708093424684,River Flood + Coastal Flood + Tropical Storm + Heatwave + Sand and Dust Storm,5,Multiple
THA_V1,THA,181,447.6104386534191,River Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
ESP_V1,ESP,181,447.3635653494772,River Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
TWN_V1,TWN,93,445.952855726704,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
MMR_V1,MMR,182,443.93473856426476,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
AUS_V1,AUS,93,439.1984195267337,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
NGA_V1,NGA,91,432.56384436413646,River Flood + Coastal Flood + Drought + Heatwave + Fire,5,Multiple
NIC_V1,NIC,117,432.0372272125902,River Flood + Tropical Storm + Heatwave + Extreme Heat + Fire,5,Multiple
SOM_V1,SOM,244,427.27241165935993,Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
VNM_V1,VNM,167,423.6810313195456,River Flood + Coastal Flood + Tropical Storm + Extreme Heat + Sand and Dust Storm,5,Multiple
MDG_V1,MDG,151,421.8324203724243,River Flood + Coastal Flood + Tropical Storm + Heatwave + Sand and Dust Storm,5,Multiple
