system:index,ISO3,combination,combination_id,hazardCount,hazardLevel,population,.geo
4192,PRY,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,18155.58723708446,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,ARG,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,18000.212090574485,"{""type"":""MultiPoint"",""coordinates"":[]}"
6713,BGD,River Flood + Tropical Storm + Extreme Heat + Sand and Dust Storm,165,4,Multiple,17929.018196607743,"{""type"":""MultiPoint"",""coordinates"":[]}"
8003,KWT,River Flood + Heatwave + Extreme Heat + Sand and Dust Storm,177,4,Multiple,17877.239928228,"{""type"":""MultiPoint"",""coordinates"":[]}"
3144,MMR,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,17702.83261926958,"{""type"":""MultiPoint"",""coordinates"":[]}"
6391,ARE,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,17692.142284507194,"{""type"":""MultiPoint"",""coordinates"":[]}"
8886,SEN,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,17158.69513582675,"{""type"":""MultiPoint"",""coordinates"":[]}"
1202,COL,River Flood + Drought + Heatwave + Fire,89,4,Multiple,16869.286270647262,"{""type"":""MultiPoint"",""coordinates"":[]}"
2916,MEX,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,16782.14479349077,"{""type"":""MultiPoint"",""coordinates"":[]}"
8039,LAO,River Flood + Drought + Heatwave + Fire,89,4,Multiple,16781.9196028122,"{""type"":""MultiPoint"",""coordinates"":[]}"
2453,KAZ,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,16692.020674231448,"{""type"":""MultiPoint"",""coordinates"":[]}"
3886,OMN,Tropical Storm + Extreme Heat + Fire + Sand and Dust Storm,228,4,Multiple,16570.179324117606,"{""type"":""MultiPoint"",""coordinates"":[]}"
2047,IND,Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,180,4,Multiple,16501.243318530684,"{""type"":""MultiPoint"",""coordinates"":[]}"
10063,DOM,River Flood + Tropical Storm + Drought + Heatwave,29,4,Multiple,16499.89322807374,"{""type"":""MultiPoint"",""coordinates"":[]}"
1542,ESP,River Flood + Tropical Storm + Heatwave + Extreme Heat,53,4,Multiple,16401.265501993796,"{""type"":""MultiPoint"",""coordinates"":[]}"
4045,PER,River Flood + Drought + Heatwave + Fire,89,4,Multiple,16340.300818841526,"{""type"":""MultiPoint"",""coordinates"":[]}"
3871,OMN,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,16277.877427314426,"{""type"":""MultiPoint"",""coordinates"":[]}"
4139,PNG,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,16233.938329235569,"{""type"":""MultiPoint"",""coordinates"":[]}"
2202,IRN,Drought + Heatwave + Fire + Sand and Dust Storm,216,4,Multiple,16224.620195080652,"{""type"":""MultiPoint"",""coordinates"":[]}"
2181,IRN,River Flood + Drought + Extreme Heat + Sand and Dust Storm,169,4,Multiple,16130.831192037678,"{""type"":""MultiPoint"",""coordinates"":[]}"
2777,MDG,River Flood + Tropical Storm + Heatwave + Sand and Dust Storm,149,4,Multiple,16063.705955844373,"{""type"":""MultiPoint"",""coordinates"":[]}"
7225,GHA,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,15915.680599115345,"{""type"":""MultiPoint"",""coordinates"":[]}"
6389,ARE,Coastal Flood + Heatwave + Extreme Heat + Sand and Dust Storm,178,4,Multiple,15880.915360664794,"{""type"":""MultiPoint"",""coordinates"":[]}"
5152,USA,River Flood + Drought + Extreme Heat + Fire,105,4,Multiple,15854.994622296561,"{""type"":""MultiPoint"",""coordinates"":[]}"
4079,PER,Drought + Heatwave + Fire + Sand and Dust Storm,216,4,Multiple,15850.684508742852,"{""type"":""MultiPoint"",""coordinates"":[]}"
1876,IDN,River Flood + Drought + Extreme Heat + Fire,105,4,Multiple,15774.98333632201,"{""type"":""MultiPoint"",""coordinates"":[]}"
7972,KOR,River Flood + Tropical Storm + Heatwave + Fire,85,4,Multiple,15766.729402948322,"{""type"":""MultiPoint"",""coordinates"":[]}"
9693,ECU,River Flood + Drought + Heatwave + Fire,89,4,Multiple,15752.824705281115,"{""type"":""MultiPoint"",""coordinates"":[]}"
618,BWA,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,15663.167297286298,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,AUS,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,15661.525623375372,"{""type"":""MultiPoint"",""coordinates"":[]}"
4380,SAU,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,15655.245658475207,"{""type"":""MultiPoint"",""coordinates"":[]}"
6060,xAB,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,15439.17230687318,"{""type"":""MultiPoint"",""coordinates"":[]}"
3629,NAM,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,15402.620714911756,"{""type"":""MultiPoint"",""coordinates"":[]}"
1936,IND,Coastal Flood + Tropical Storm + Drought + Heatwave,30,4,Multiple,15102.71173338633,"{""type"":""MultiPoint"",""coordinates"":[]}"
574,BRA,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,14985.464303328914,"{""type"":""MultiPoint"",""coordinates"":[]}"
1205,COL,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,14968.532721923959,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,AUS,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,14924.397755136055,"{""type"":""MultiPoint"",""coordinates"":[]}"
9757,NIC,Tropical Storm + Heatwave + Extreme Heat + Fire,116,4,Multiple,14863.54379596529,"{""type"":""MultiPoint"",""coordinates"":[]}"
3706,NGA,River Flood + Coastal Flood + Heatwave + Fire,83,4,Multiple,14805.08204016966,"{""type"":""MultiPoint"",""coordinates"":[]}"
2439,KAZ,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,14788.442881228246,"{""type"":""MultiPoint"",""coordinates"":[]}"
8412,NLD,Coastal Flood + Drought + Heatwave + Fire,90,4,Multiple,14698.459497701959,"{""type"":""MultiPoint"",""coordinates"":[]}"
4917,TUR,Drought + Heatwave + Fire + Sand and Dust Storm,216,4,Multiple,14665.952789604431,"{""type"":""MultiPoint"",""coordinates"":[]}"
2894,MEX,River Flood + Tropical Storm + Heatwave + Fire,85,4,Multiple,14642.095694146163,"{""type"":""MultiPoint"",""coordinates"":[]}"
4824,TKM,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,14626.257020989338,"{""type"":""MultiPoint"",""coordinates"":[]}"
891,CHN,River Flood + Coastal Flood + Tropical Storm + Sand and Dust Storm,135,4,Multiple,14600.300611451617,"{""type"":""MultiPoint"",""coordinates"":[]}"
3474,MRT,River Flood + Drought + Extreme Heat + Sand and Dust Storm,169,4,Multiple,14562.221400754397,"{""type"":""MultiPoint"",""coordinates"":[]}"
332,AUS,Tropical Storm + Drought + Extreme Heat + Fire,108,4,Multiple,14392.722808247396,"{""type"":""MultiPoint"",""coordinates"":[]}"
6892,CYP,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,14168.280712974025,"{""type"":""MultiPoint"",""coordinates"":[]}"
9267,TGO,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,14139.68796108733,"{""type"":""MultiPoint"",""coordinates"":[]}"
4294,RUS,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,14105.342060460827,"{""type"":""MultiPoint"",""coordinates"":[]}"
2416,KAZ,River Flood + Drought + Heatwave + Fire,89,4,Multiple,14070.017412955747,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,CIV,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,13970.528598494493,"{""type"":""MultiPoint"",""coordinates"":[]}"
