iso3,P1_geometric_avg,P2_arithmetic_avg,P1_P2_geometric_avg,rank_reverse
JOR,4.165996932070778,2.300508892985286,3.095789558581928,84.0
JPN,5.6135780152961265,0.4270391907360671,1.548295131229798,139.0
KAZ,4.298734392686698,1.1989937045263537,2.270276519460139,109.0
KEN,4.751459616729233,4.810258359582922,4.780768593285877,38.0
KGZ,3.301632799928612,1.808571611949396,2.4436119486413768,104.0
KHM,8.88092841191349,4.219891931515986,6.121810038796934,16.0
KIR,,4.077399241358895,,
KNA,1.1258181622449621,2.863152473024208,1.795379919628748,125.0
KOR,3.667591599110705,1.1467061038084736,2.050768069153203,118.0
KWT,4.453588055053002,2.6259162036396,3.419758622886621,70.0
LAO,7.230578808771102,4.381344669419151,5.628468523655926,25.0
LBN,2.6456192068619817,2.7604419491390337,2.7024208111636425,99.0
LBR,4.103348098339789,6.707349698393164,5.246197730822068,30.0
LBY,4.657407260953201,1.783469372247489,2.882072727159603,92.0
LCA,1.2487041465358826,2.5255703192438026,1.7758632071150966,127.0
LIE,,,,
LKA,4.985930511806598,1.5200301277325077,2.7529556104989026,98.0
LSO,1.9044893986464904,4.682498273131102,2.9862632705468855,89.0
LTU,1.9734638158239077,0.1827918497590181,0.6006106072511274,170.0
LUX,1.5361700833242322,0.0586309567676545,0.3001118489873857,175.0
LVA,2.237490086655013,0.2401087771197446,0.7329672630970953,165.0
MAC,,,,
MAF,1.3889052464800278,,,
MAR,6.828545901072245,3.2224645481563625,4.690921773241253,41.0
MCO,,,,
MDA,2.0355238183615354,2.459684738714772,2.237576115300619,110.0
MDG,8.456097986471242,7.331991646317065,7.874010401239289,1.0
MDV,,1.1723151300661605,,
MEX,7.24936235584899,2.089309012174703,3.8918065346994317,62.0
MHL,,4.121112798311886,,
MKD,2.212871190438819,1.7032725257934171,1.941422855069402,121.0
MLI,5.380817384968691,6.3879939832203325,5.8628175036550685,19.0
MLT,1.1274216699019641,0.8418657527740535,0.9742369799092653,154.0
MMR,10.0,4.592132064058055,6.776527181531835,7.0
MNE,1.8905998108132271,1.465162240435719,1.664342349071858,133.0
MNG,2.7648511628890295,1.312919092261413,1.9052626799016332,124.0
MNP,,,,
MOZ,7.404767100686201,6.914373898973153,7.155370596299797,6.0
MRT,6.348114941833519,5.282763989538494,5.7909924034946245,22.0
MSR,0.9606400360683551,,,
MTQ,1.3679017999263152,,,
MUS,,2.431127820048665,,
MWI,3.412197718222445,4.868801408450317,4.075943210745274,54.0
MYS,4.64508227558001,3.37902106430248,3.961796417713227,59.0
MYT,1.7428115331882785,,,
NAM,5.535959953261597,4.276140356662299,4.8654436354755415,37.0
NCL,2.1830573850542985,,,
NER,5.120443939801407,8.479025316584758,6.58911024335525,9.0
NFK,,,,
NGA,6.1408857232955585,6.662844499607819,6.396543337261178,10.0
NIC,5.439284983285364,,,
NIU,,,,
NLD,3.8502940181435585,0.2579068766061506,0.9965025361962561,153.0
NOR,2.5812830240488047,0.0742746693279159,0.43786292754530337,174.0
NPL,3.7857572759102,2.8536961611254448,3.2868527508669447,76.0
NRU,,1.6010370297043135,,
NZL,3.2857561224152008,0.7827191078236291,1.6036907747660396,137.0
OMN,5.606199496365416,2.9450961967765044,4.063347981156828,55.0
PAK,9.43604930923824,4.752490166306516,6.6966209055281745,8.0
PAN,3.598138712402612,2.489828611284436,2.993116889484766,88.0
PCN,,,,
PER,5.506452930869344,3.1044307953687067,4.134537707253394,52.0
PHL,7.012172040397135,3.493761136785808,4.949631719658156,35.0
PLW,,0.731517505626072,,
PNG,,6.663478988105606,,
POL,2.8277600083149936,0.2635744905506956,0.8633223059207892,159.0
PRI,2.266106637826198,,,
PRK,4.090558085832103,1.29547666921397,2.3020040323158972,108.0
PRT,4.061707046423045,0.3556175402934172,1.2018378716295872,143.0
PRY,3.3002524873979064,2.411430503130389,2.8210511368485367,95.0
PSE,2.7960523953909293,1.5845367300743731,2.104862874428503,114.0
PYF,0.9941833356842067,,,
QAT,2.984279589113476,1.9822252961831248,2.4321830714237707,106.0
REU,1.7439606949631687,,,
ROU,2.7212755236076314,0.981040133096055,1.6339156961854853,135.0
RUS,4.6439796411791425,0.3787237256298336,1.3261920192637011,141.0
RWA,2.1959065059922906,4.50984215241932,3.146933701901969,83.0
SAU,5.642600113862992,1.9251693147224545,3.2959005742308487,75.0
SDN,7.634046743116863,6.8250380744327686,7.21821720961748,5.0
SEN,5.6914915420957986,4.63034374791241,5.133572077927009,32.0
SGP,1.0995689574371936,1.1201235876305082,1.1097986870030332,145.0
SGS,,,,
SHN,,,,
SJM,,,,
SLB,,3.859731298114437,,
SLE,4.874435727785181,6.204796084257121,5.4995345001038425,27.0
SLV,3.516526955908371,3.338357269981436,3.4262841868455522,69.0
SMR,0.6618784502487522,,,
SOM,7.809651016294725,7.425670975239618,7.615241222704233,3.0
SPM,,,,
SRB,1.9177157863644787,1.438750562034402,1.6610582969269276,134.0
SSD,6.843506076395358,7.942531038839377,7.372568034798634,4.0
STP,0.9089708661027789,3.5229494704435784,1.7894855215476368,126.0
SUR,3.1571659730457524,2.526268669656752,2.82415464930308,94.0
SVK,2.068759991988066,0.592978178466566,1.1075782283882998,146.0
SVN,1.9840966921884489,0.3331210889401014,0.8129849020098657,160.0
SWE,2.7650797231378714,0.1251207417824748,0.5881911477876138,171.0
SWZ,3.1370711354152627,4.000045963661147,3.542376142315977,68.0
SXM,1.2225148496538454,,,
SYC,,2.473203584632577,,
SYR,5.592751818747483,2.594466071979828,3.809226278860648,65.0
TCA,1.1946806436763855,0.8860804887720577,1.0288747294415217,150.0
TCD,6.963194253413167,8.421360130954094,7.657647580773141,2.0
TGO,4.62113735711821,4.820933392967311,4.719978326154061,39.0
THA,6.9609471273042915,1.542829645282319,3.2771261172097477,78.0
TJK,4.450886967664487,2.327564063914894,3.21865259994937,80.0
TKL,,,,
TKM,5.936206638541416,1.4278561494146549,2.9113655135990504,91.0
TLS,2.6410118500978124,4.06695113914814,3.2773260675327736,77.0
TON,,2.768328525360872,,
TTO,1.7673377812555313,2.2478640517774093,1.9931721115432746,119.0
TUN,5.106927003751962,1.3815803126541246,2.656243551934626,101.0
TUR,4.576712064013295,1.7069778548389083,2.7950574487607827,96.0
TUV,,2.50817047213052,,
TWN,4.676123631403164,,,
TZA,4.619538598340735,5.312536652370389,4.953934610157676,34.0
UGA,3.919038532997922,5.316337868246415,4.564529872946093,44.0
UKR,3.059394804499515,0.8287601882595524,1.5923267926296192,138.0
UMI,,,,
URY,2.700406211702685,1.5729797346407104,2.060991083613307,117.0
USA,6.569303446673261,0.6470511131070513,2.0617165441033736,116.0
UZB,4.92994013279214,2.1534893608065344,3.2583083994750055,79.0
VAT,0.42707326309086735,,,
VCT,1.0400381722147927,2.920579726227337,1.7428466371626394,128.0
VEN,7.781815276000995,2.063389040727976,4.007107729828901,58.0
VGB,,,,
VIR,1.2911877296212535,,,
VNM,9.408739336057298,2.600096418888518,4.94607212393218,36.0
VUT,,4.635821134777044,,
WLF,,,,
WSM,,2.55912759288242,,
YEM,6.9776151812750085,5.126232647541924,5.98070888318822,18.0
ZAF,5.546900470822186,2.962904605158406,4.05400258389229,56.0
ZMB,4.270291765245435,5.088097853017387,4.661294065325525,42.0
ZWE,5.283611379116339,5.333016710833894,5.308256566843884,28.0
xAB,5.745449872978292,,,
xAC,1.6876714144047646,,,
xAP,3.036508882778784,,,
xFR,,,,
xJK,4.2679240279897,,,
xJL,1.1268103970498444,,,
xPI,,,,
xRI,1.613326848673514,,,
xSI,,,,
xSK,,,,
xSR,,,,
xUK,0.8352859513734372,,,
xxx,1.278497582016339,,,
