iso3,P2_DTP1_access_value_normalized,P2_Child_marriage_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Basic_hygiene_value_normalized,P2_Under_five_mortality_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Child_poverty_value_normalized,P2_Stunting_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_Child_labor_value_normalized,P2_Learning_poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_electricity_access_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_DTP3_access_value_normalized,P2_arithmetic_avg,rank_reverse
BGR,0.3999999999999986,,,0.8516886930983851,,0.45330969930089293,,,0.9195261487951587,1.553222331339489,0.12667376732384739,,1.5984946803042734,,0.0,3.8999999999999995,0.6896551724137936,1.3661024240183395,138.0
BHR,0.1999999999999993,,,0.08810572687224649,-1.7763568394002505e-15,0.7603191207080792,,,0.7353187388468967,0.0,0.012453773976817573,,2.8595472636975683,,0.0,9.24,0.3448275862068968,2.2929282849191,107.0
BHS,0.0,,,0.04405286343612147,,1.124311522857767,,,,0.7016728465651134,0.16398649049673963,,,,0.0,9.87,1.3793103448275872,2.945745498363655,74.0
BIH,1.4000000000000021,,,0.014684287812038122,0.28530690719252405,0.571716836771212,,,1.4073429785982923,0.5148171072382208,0.6083286819477394,,,,0.0,8.54,3.275862068965517,2.432236127338011,99.0
BLR,0.0,0.7704918032786885,0.11416171074989911,0.014684287812038122,,0.10854903908734612,0.0,,0.025399469959614035,0.028183943647437815,0.016714899294614227,0.7948717948717947,,0.0,0.0,,0.0,0.16452198699023,184.0
BLZ,1.8000000000000007,5.491803278688524,4.512727449580473,0.748898678414097,1.0116364400220306,1.1542985307154021,1.408526687287499,1.9124551851534783,2.177330768885241,1.7512086906918238,0.801116875141858,,,1.4137930689655174,0.15555555555555678,9.7,1.724137931034484,2.786236252268043,81.0
BOL,6.600000000000001,2.3770491803278686,1.9300871654354186,0.36710719530102764,7.600126863990564,1.4621095498500132,1.240060408809349,,1.981158656849894,3.1699415963779254,1.0280457820114943,3.2307692307692304,,0.5472548275862069,0.011111111111111072,3.7199999999999998,6.724137931034483,2.5990847273658066,87.0
BRA,1.4000000000000021,,1.7251191054317339,0.23494860499265613,,1.3122737532631674,1.1679413356161619,,1.6062102112402863,0.8476725202457978,1.970963996456021e-07,0.28205128205128205,4.620827524285557,0.0004963793103448522,0.0,3.4099999999999993,1.2068965517241388,1.37731135137174,137.0
BRB,0.8000000000000007,,,0.10279001468428817,1.201109311628274,0.8612939272639973,,,0.9688754405092961,0.21279441616901984,0.13019013935606338,,,,0.0,8.69,0.6896551724137936,2.28659572405312,108.0
BRN,0.0,,,0.058737151248163144,,0.8795131318547063,,,1.8212481675221632,0.0,1.7763568394002505e-15,,,,0.0,,0.0,0.6788613967972278,160.0
BTN,0.0,1.4754098360655736,,0.22026431718061446,0.5703574950355605,1.61092089079362,7.4580005330189065,,3.4406685532510908,1.4678220613748465,0.07049602181088943,,,,0.0,9.6,0.0,3.148937201449407,69.0
BWA,0.0,,0.948244242448693,0.02936857562408335,,3.246079685166685,,,4.075736972562856,3.110646342196806,1.2793547985758256,,,0.568965551724138,2.677777777777777,9.77,0.5172413793103452,3.4752531763967203,64.0
