iso3,health,nutrition,wash,education,protection,poverty,survival
AFG,4.882466200820295,8.028256470551455,4.354238569921681,6.933661766433941,4.6986128625472885,9.96,5.243290510993517
AGO,6.146293061252047,7.0810604132832005,5.698442893070521,4.84689976141565,3.560109289617486,8.496542566204251,4.834911347611004
ALB,0.0431034482758621,2.023639923669463,0.4184657648264727,0.39821811097922266,1.9344262295081966,4.0623652723677734,0.8069195494487915
AND,0.0,,8.881784197001252e-16,,,8.78,0.1263530276885831
ARE,0.18620689655172384,,0.05093141543557955,2.4122364646509995,,9.98,0.3574707606681733
ARG,1.9170768140159,1.9742166795297422,0.36339449679992253,2.7581281034582954,1.3986969314838167,1.2200000000000006,0.8359911246100992
ARM,0.22975593700946906,1.5947367263600758,0.43273722131203307,0.9549514647141463,0.831862126944094,3.483745196534837,0.8432091438197818
ATG,0.03671071953010241,,0.10573692350647867,,,,0.7890475767568909
AUS,0.5205833206744641,0.42425690216303846,0.0023604382517117273,0.6382778569271684,,0.0,0.23770226623434634
AUT,0.7580687629753406,,0.0015562690896731013,1.2598979347630528,,0.0,0.20889941979908164
AZE,3.683204212871538,1.1638157458878564,0.2975452513395436,3.6365023161235577,1.7551492223623368,8.97,1.6839825114808882
BDI,4.2400235454959745,6.35426374744595,7.076427909925911,7.844155667731648,6.557377049180328,5.491089594014121,4.638236581900261
BEL,0.05747126436781613,0.3245986924581542,0.02865719887941065,0.5817899202045632,0.01639344262295082,0.0,0.24932533257108422
BEN,4.52179983796648,6.108285292887949,7.492931876016371,7.264542337387532,4.677175283732661,9.136871217476841,7.442741116324317
BFA,2.8420202710685776,4.36148714640866,7.701260391140896,7.459072715357725,6.717738545607397,9.13,7.457011895417321
BGD,1.1721049167046431,4.079324063701198,2.2458510264632214,3.718266428131464,4.920134510298444,5.55,2.961126530266969
BGR,0.4853359663780443,0.9195261487951587,0.8399480493316682,1.5984946803042734,,3.8999999999999995,0.45330969930089293
BHR,0.15823332826978564,0.7353187388468967,0.004151257992271932,2.8595472636975683,,9.24,0.7603191207080792
BHS,0.35584080206592716,,0.4328296685309265,,,9.87,1.124311522857767
BIH,1.1726365891943893,1.4073429785982923,0.4694842321261614,,,8.54,0.571716836771212
BLR,0.0036710719530095304,0.012699734979807017,0.02244942147102602,0.05708085537494956,0.7826817990752416,,0.10854903908734612
BLZ,1.1071480412510346,1.79292872808637,1.1879873352852375,2.963260259272995,5.491803278688524,5.806227592576739,1.1542985307154021
BOL,3.4255890593616556,1.6106095328296215,3.932704747459994,1.2386709965108127,2.8039092055485497,3.7199999999999998,1.4621095498500132
BRA,0.7104612891791993,1.387075773428224,0.4238363586710987,2.115481003009212,0.28205128205128205,3.4099999999999993,1.3122737532631674
BRB,0.3981112967745206,0.9688754405092961,0.5146979557177858,,,8.69,0.8612939272639973
BRN,0.014684287812040786,1.8212481675221632,8.881784197001252e-16,,,,0.8795131318547063
BTN,0.055066079295153614,5.449334543134999,0.7028918594070989,,1.4754098360655736,9.6,1.61092089079362
BWA,0.8060969331780514,4.075736972562856,2.195000570386316,0.7586048970864154,,9.77,3.246079685166685
CAF,9.247089726062079,7.743142755638314,9.181280327514392,6.9965224137931035,8.32051282051282,9.51,8.95967519628823
CAN,0.6393842726213981,,0.2116756150367749,0.13703762857537471,,0.0,0.42205669054119754
CHE,0.1816091954022987,,0.005585174137447524,,,0.0,0.26393340751790884
CHL,0.15133677654564792,0.13994209574211777,0.07142890147308734,1.0086950496175981,0.0,4.25,0.5563408817855433
