iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
NZL,5.437974177642832,1.6363222294297106,6.922501833734515,8.010714978754404,3.2377484960344445,1.0,6.169223026610366,3.1435469105869736,5.455210858805451,1.6558210741889734,1.0,1.0,5.6884701414366345,1.6320008361445932,4.792602642313475,1.2009381746713164,6.174235791088879,3.061448211744589,6.75310751739449,5.282983097508085,3.275608387245875,1.0,4.723922823947127,1.2320916085074214,3.0084261791627447,1.0,7.0833762877418085,10.0,1.0,1.0,1.0,1.0
xAP,2.9307955341175704,1.0,6.296838165057528,10.0,1.0,1.0,5.383806696788418,3.1473979937222816,3.1295171724052526,1.0,1.0,1.0,5.585733955227286,3.4626950295099634,4.399676356697364,1.6841253762182387,5.907606102852775,5.701235872972747,6.178913775965707,7.105899173179059,2.092569336887222,1.0,4.7048030340821985,2.1678732994612058,2.834507679937141,1.0,1.0,1.0,6.1847544009003546,8.563026538019153,6.23342215399896,9.157735067562252
AND,3.710272143510956,5.659980307000415,4.1330207357215425,10.0,1.0,1.0,2.821092123742213,2.12244690389897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.150923623399713,10.0,4.214794510989401,10.0,2.926071493524708,2.2529887740563286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GGY,1.0,1.0,3.688724186410071,6.127427359170815,3.152600709664587,10.0,4.049630799114595,9.990149653560845,1.5090391398605494,1.0929176604381174,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.050337043737265,10.0,1.0,1.0,1.0,1.0
SLE,7.6001065177641784,6.7870308372520185,7.8679154178681205,9.775839815802533,4.432557125731576,1.0,6.749176863354336,2.501074940020567,1.0,1.0,7.614143328055025,6.915058949412376,8.907712907929909,10.0,8.423068178183197,10.0,6.748778011113691,2.422294062438001,7.44156435391006,4.492493404177619,1.0,1.0,5.877353844425269,1.4948439602972803,4.9386263510554596,1.0,1.0,1.0,7.872206513352527,9.834438541045749,1.0,1.0
SVK,6.635515503625662,5.948863092511389,7.019595748830421,9.997008955044706,1.0,1.0,4.421896515797173,1.0776161331687013,4.812224115230313,1.2159106599089398,1.0,1.0,5.149035392434954,1.220029299936714,3.065574231399048,1.0,6.755124880220238,6.6681413267702245,6.57487149510675,4.6026410302719905,6.038123880540704,2.6237885905047404,5.662182237393674,2.6721351624990204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NPL,8.191003728106388,6.609197309658583,8.495075801197778,9.99979827533064,1.0,1.0,7.945531626786886,4.819614362555251,7.323585905273713,2.4143262759778383,8.134524167975844,6.13581917953781,7.074706137115286,1.2970360193343338,5.712113352805308,1.0,5.9920538131185985,1.095731950954816,6.004775845972427,1.072594655301473,3.2432925009224065,1.0,6.858639935971258,1.9630138071764986,3.8593295163305386,1.0,1.0,1.0,5.317974776948212,1.0,5.545475547133052,1.0073112567228812
GRL,1.0,1.0,1.0,1.0,3.12112321420261,10.0,1.7365753009667455,1.2725327914444762,2.762466088618212,2.6644346090606135,1.0,1.0,1.0,1.0,1.0,1.0,3.677112364996817,7.891187000953035,3.7208560337754704,7.782133828814823,3.027166745962441,3.3856069091268144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BVT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BWA,5.398735816104768,1.7189445459531698,6.973970164469627,9.999067589761259,1.0,1.0,5.032281607906553,1.3705186826661215,5.351205786456991,1.6619606637681597,6.908670830730221,9.132083139845243,7.0842785609372525,7.038260467056517,5.263797615287392,1.848108495818383,6.74291744328035,6.973301195125359,6.986566997448314,8.244792179044833,1.0,1.0,5.367632023479752,2.0998237121226984,5.315305787914587,1.364751400860495,1.0,1.0,6.520240487354155,5.438862645688184,1.0,1.0
LBR,6.972593765940751,4.226784852122729,7.628166981691656,9.984895370272412,3.607265813850269,1.0,6.924125860826173,3.988904159744444,5.630465288510946,1.3318412842004739,2.647165963460985,1.0,6.997448847554106,2.7735080417697047,7.154593315894799,6.443675912063549,6.9203737627855695,3.817111222170486,7.558100495996415,7.218129260461307,1.0,1.0,6.889505570967119,5.352086641970248,3.1076008164857405,1.0,1.0,1.0,7.5775989240963995,9.307037185185157,1.0,1.0
ERI,7.021480822375755,6.737537841726862,7.2476464081099685,9.156734850521621,3.491315772621914,1.0,6.959002158451167,6.204510819352633,6.742088134264645,4.7047836959000735,6.747154424337687,4.734418045086158,5.743311971276719,1.4010426925972936,3.2149295240391806,1.0,7.31964594612511,9.626584964522339,7.305855269402922,7.959305945592341,1.0,1.0,4.086321111049102,1.0,7.869314748980344,10.0,1.0,1.0,7.250008481439416,9.186694401845795,7.250008481439416,9.187696951425755
CXR,1.0,1.0,1.0,1.0078376488960488,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1754986716660465,10.0,1.0,1.0,1.0,1.0
HMD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VAT,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
