iso3,time_period,obs_value,data_source
IDN,2024,78.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
IND,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
IRL,2024,92.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
IRN,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
IRQ,2024,90.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ISL,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ISR,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
ITA,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
JAM,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
JOR,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
JPN,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KAZ,2024,98.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KEN,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KGZ,2024,85.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KHM,2024,83.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KIR,2024,94.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KNA,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KOR,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
KWT,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LAO,2024,67.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LBN,2024,49.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LBR,2024,83.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LBY,2024,86.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LCA,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LKA,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LSO,2024,86.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LTU,2024,89.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LUX,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
LVA,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MAR,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MCO,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MDA,2024,86.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MDG,2024,60.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MDV,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MEX,2024,78.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MHL,2024,85.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MKD,2024,89.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MLI,2024,82.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MLT,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MMR,2024,71.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MNE,2024,81.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MNG,2024,96.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MOZ,2024,70.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MRT,2024,86.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MUS,2024,93.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MWI,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
MYS,2024,93.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NAM,2024,74.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NER,2024,86.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NGA,2024,67.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NIU,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NLD,2024,91.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NOR,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NPL,2024,97.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NRU,2024,99.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
NZL,2024,89.0,"WHO/UNICEF estimates of national immunization coverage, 2024 revision"
